,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
12,2023-04-21 20:11:01.246680,3.275267839,1.522712231,8.860940933,-0.101522207,0.019451762,-0.009326187
13,2023-04-21 20:11:01.246680,3.275267839,1.52510643,8.860940933,-0.10178867,0.019451762,-0.009326187
14,2023-04-21 20:11:01.246680,3.277662039,1.520318031,8.856152534,-0.102321595,0.019718224,-0.009059724
0,2023-04-21 20:11:01.276680,3.275267839,1.434126854,8.7843256,-0.100989282,0.018918836,-0.013056661
1,2023-04-21 20:11:01.276680,3.27287364,1.434126854,8.793902397,-0.100989282,0.018918836,-0.013323124
2,2023-04-21 20:11:01.276680,3.27287364,1.436521053,8.801085472,-0.100722812,0.018918836,-0.013589587
3,2023-04-21 20:11:01.276680,3.27287364,1.441309452,8.813055992,-0.100456357,0.018385911,-0.013589587
4,2023-04-21 20:11:01.276680,3.275267839,1.446097851,8.817844391,-0.100189894,0.018119449,-0.01385605
5,2023-04-21 20:11:01.276680,3.277662039,1.453280449,8.820239067,-0.099923424,0.018119449,-0.01385605
6,2023-04-21 20:11:01.276680,3.280056238,1.455674648,8.825027466,-0.099656969,0.018385911,-0.01385605
7,2023-04-21 20:11:01.276680,3.277662039,1.458068848,8.82263279,-0.099390499,0.018385911,-0.01385605
8,2023-04-21 20:11:01.276680,3.277662039,1.460463047,8.825027466,-0.099124044,0.018385911,-0.01385605
9,2023-04-21 20:11:01.276680,3.277662039,1.460463047,8.82263279,-0.098857582,0.018385911,-0.01385605
10,2023-04-21 20:11:01.276680,3.280056238,1.460463047,8.820239067,-0.099124044,0.018385911,-0.013589587
11,2023-04-21 20:11:01.276680,3.282450438,1.462857246,8.820239067,-0.099124044,0.018119449,-0.013589587
12,2023-04-21 20:11:01.276680,3.287238836,1.465251446,8.817844391,-0.099124044,0.017852986,-0.013323124
13,2023-04-21 20:11:01.276680,3.292027235,1.470039845,8.815450668,-0.099656969,0.017586524,-0.013056661
14,2023-04-21 20:11:01.276680,3.292027235,1.467645645,8.815450668,-0.099923424,0.017852986,-0.013056661
0,2023-04-21 20:11:01.306677,3.268085241,1.458068848,8.851364136,-0.101255737,0.02051761,-0.010392036
1,2023-04-21 20:11:01.306677,3.265691042,1.458068848,8.851364136,-0.101255737,0.020251149,-0.010392036
2,2023-04-21 20:11:01.306677,3.265691042,1.455674648,8.853757858,-0.100989282,0.019984685,-0.010392036
3,2023-04-21 20:11:01.306677,3.265691042,1.455674648,8.853757858,-0.100722812,0.019984685,-0.010658499
4,2023-04-21 20:11:01.306677,3.260902643,1.453280449,8.858546257,-0.100989282,0.019718224,-0.010924961
5,2023-04-21 20:11:01.306677,3.260902643,1.453280449,8.860940933,-0.100989282,0.019718224,-0.010924961
6,2023-04-21 20:11:01.306677,3.260902643,1.453280449,8.863334656,-0.100722812,0.019718224,-0.010924961
7,2023-04-21 20:11:01.306677,3.256114244,1.455674648,8.870517731,-0.100456357,0.019451762,-0.011191424
8,2023-04-21 20:11:01.306677,3.256114244,1.460463047,8.865729332,-0.100189894,0.019451762,-0.011457887
9,2023-04-21 20:11:01.306677,3.258508444,1.465251446,8.870517731,-0.099923424,0.019185297,-0.011457887
