,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
4,1683959046.7801912,1.405396342,-0.08379706,9.282320023,-0.105252676,0.018918836,-0.012790199
5,1683959046.7801912,1.407790542,-0.08379706,9.279925346,-0.105252676,0.018652374,-0.012790199
6,1683959046.7801912,1.41257906,-0.08379706,9.277531624,-0.105252676,0.018652374,-0.012790199
7,1683959046.7801912,1.41257906,-0.086191259,9.287108421,-0.105252676,0.018652374,-0.012790199
8,1683959046.7801912,1.41018486,-0.088585466,9.294290543,-0.105252676,0.018652374,-0.012790199
9,1683959046.7801912,1.407790542,-0.088585466,9.282320023,-0.105252676,0.018119449,-0.012790199
10,1683959046.7801912,1.407790542,-0.086191259,9.258378029,-0.105252676,0.018119449,-0.012790199
11,1683959046.7801912,1.405396342,-0.088585466,9.25358963,-0.105252676,0.018385911,-0.012790199
12,1683959046.7801912,1.405396342,-0.088585466,9.26556015,-0.104986221,0.018385911,-0.013056661
13,1683959046.7801912,1.405396342,-0.08379706,9.263166428,-0.104986221,0.017586524,-0.012790199
14,1683959046.7801912,1.403002143,-0.08379706,9.25358963,-0.104986221,0.017320061,-0.012790199
0,1683959046.8211606,1.414973259,-0.086191259,9.301473618,-0.105252676,0.022382848,-0.012257273
1,1683959046.8211606,1.414973259,-0.088585466,9.306262016,-0.105252676,0.022649311,-0.012257273
2,1683959046.8211606,1.414973259,-0.088585466,9.30386734,-0.104986221,0.022382848,-0.012257273
3,1683959046.8211606,1.41257906,-0.086191259,9.296685219,-0.104719758,0.022116385,-0.012257273
4,1683959046.8211606,1.41018486,-0.090979666,9.287108421,-0.104719758,0.022116385,-0.012523737
5,1683959046.8211606,1.41018486,-0.090979666,9.277531624,-0.104986221,0.021849923,-0.012790199
6,1683959046.8211606,1.407790542,-0.088585466,9.263166428,-0.104986221,0.022116385,-0.012523737
7,1683959046.8211606,1.41018486,-0.088585466,9.25358963,-0.104719758,0.022116385,-0.012523737
8,1683959046.8211606,1.407790542,-0.088585466,9.263166428,-0.104719758,0.022649311,-0.012523737
9,1683959046.8211606,1.403002143,-0.088585466,9.26556015,-0.104719758,0.022382848,-0.012523737
10,1683959046.8211606,1.403002143,-0.086191259,9.241618156,-0.104453288,0.022649311,-0.012523737
11,1683959046.8211606,1.400607944,-0.086191259,9.22725296,-0.104719758,0.023448698,-0.012523737
12,1683959046.8211606,1.398213744,-0.088585466,9.255983353,-0.104719758,0.023981623,-0.012257273
13,1683959046.8211606,1.398213744,-0.088585466,9.270348549,-0.104719758,0.023715161,-0.012257273
14,1683959046.8211606,1.398213744,-0.086191259,9.260771751,-0.104453288,0.023182238,-0.012523737
0,1683959046.8561409,1.398213744,-0.081402861,9.260771751,-0.104986221,0.022382848,-0.012523737
1,1683959046.8561409,1.395819545,-0.081402861,9.263166428,-0.104986221,0.022116385,-0.012523737
2,1683959046.8561409,1.393425345,-0.081402861,9.26556015,-0.104986221,0.021849923,-0.012523737
3,1683959046.8561409,1.395819545,-0.081402861,9.272743225,-0.104986221,0.021316998,-0.012523737
4,1683959046.8561409,1.393425345,-0.081402861,9.270348549,-0.104986221,0.021050537,-0.012523737
5,1683959046.8561409,1.393425345,-0.081402861,9.267954826,-0.104986221,0.021050537,-0.012523737
6,1683959046.8561409,1.398213744,-0.081402861,9.270348549,-0.105252676,0.021050537,-0.012523737
7,1683959046.8561409,1.400607944,-0.08379706,9.275136948,-0.105252676,0.020784073,-0.012257273
8,1683959046.8561409,1.400607944,-0.08379706,9.272743225,-0.105252676,0.021050537,-0.012257273
9,1683959046.8561409,1.400607944,-0.08379706,9.270348549,-0.105252676,0.021316998,-0.012257273
10,1683959046.8561409,1.403002143,-0.08379706,9.272743225,-0.105252676,0.021316998,-0.012257273
11,1683959046.8561409,1.403002143,-0.08379706,9.275136948,-0.105519146,0.021849923,-0.012523737
12,1683959046.8561409,1.400607944,-0.088585466,9.272743225,-0.105252676,0.022116385,-0.012523737
13,1683959046.8561409,1.395819545,-0.088585466,9.272743225,-0.104986221,0.022116385,-0.012790199
