,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
4,1693677650178380900,1.025915384,-0.852335811,10.26633644,-0.062218986,-0.001199081,-0.008393568,-20,35,85,8,-12
0,1693677650193373900,1.025915384,-0.841561913,10.26633644,-0.062218986,-0.001598775,-0.008660031,-28,38,90,11,-9
1,1693677650194373900,1.021126986,-0.842759013,10.26513958,-0.062218986,-0.001732006,-0.008660031,-26,40,86,9,-5
2,1693677650195373900,1.023521185,-0.841561913,10.26394272,-0.062218986,-0.001598775,-0.008793262,-23,42,81,12,-7
3,1693677650196373900,1.023521185,-0.841561913,10.26154804,-0.062218986,-0.001465544,-0.008793262,-16,37,89,11,4
4,1693677650197373900,1.023521185,-0.842759013,10.26035118,-0.062218986,-0.001465544,-0.008660031,-30,46,84,10,-9
0,1693677650213363100,1.024718285,-0.846350312,10.27112484,-0.06261868,-0.001865237,-0.008660031,-22,45,76,6,-12
1,1693677650214363100,1.027112484,-0.846350312,10.27351952,-0.062485453,-0.001865237,-0.008660031,-27,45,84,7,-9
2,1693677650215363100,1.027112484,-0.846350312,10.27112484,-0.06261868,-0.001865237,-0.008660031,-21,47,90,10,-4
3,1693677650216363100,1.030703783,-0.847547412,10.27112484,-0.062485453,-0.001865237,-0.008793262,-26,47,86,-12,-9
4,1693677650217363100,1.034295082,-0.851138711,10.26992798,-0.06261868,-0.001865237,-0.008793262,-23,42,90,4,-5
0,1693677650232352100,1.022324085,-0.849941611,10.26873112,-0.06261868,-0.001465544,-0.008793262,-28,39,88,7,-7
1,1693677650233352100,1.023521185,-0.851138711,10.26753426,-0.06261868,-0.001465544,-0.008793262,-23,41,87,8,-8
2,1693677650234352100,1.023521185,-0.849941611,10.26753426,-0.06261868,-0.001465544,-0.008793262,-19,43,86,10,-7
3,1693677650235352100,1.021126986,-0.851138711,10.26753426,-0.062352221,-0.001199081,-0.008793262,-24,39,87,6,-9
4,1693677650236352100,1.021126986,-0.852335811,10.27112484,-0.062352221,-0.001465544,-0.008793262,-28,42,87,13,-8
0,1693677650248342800,1.021126986,-0.849941611,10.26035118,-0.06261868,-0.001865237,-0.008526799,-22,45,89,11,-5
1,1693677650249342800,1.021126986,-0.848744512,10.26154804,-0.062751912,-0.001865237,-0.008660031,-27,45,87,13,-15
2,1693677650250342800,1.022324085,-0.848744512,10.26035118,-0.062751912,-0.001998469,-0.008660031,-24,38,86,10,-12
3,1693677650251342800,1.023521185,-0.849941611,10.26513958,-0.062885143,-0.001865237,-0.008526799,-23,38,89,10,-13
4,1693677650252342800,1.022324085,-0.848744512,10.26394272,-0.062885143,-0.001865237,-0.008526799,-32,41,79,10,-14
0,1693677650266332300,1.019929886,-0.852335811,10.26753426,-0.062751912,-0.001998469,-0.009326187,-26,43,89,10,-8
1,1693677650267332300,1.022324085,-0.851138711,10.26992798,-0.062885143,-0.001865237,-0.009059724,-22,39,84,13,-3
2,1693677650268332300,1.019929886,-0.849941611,10.26513958,-0.062751912,-0.001998469,-0.008926493,-26,39,90,12,-10
3,1693677650269332300,1.022324085,-0.851138711,10.26274586,-0.062751912,-0.001998469,-0.008793262,-24,46,83,12,-12
4,1693677650270332300,1.022324085,-0.848744512,10.26394272,-0.06261868,-0.0021317,-0.008660031,-28,37,87,8,-13
0,1693677650282322300,1.023521185,-0.85353291,10.26753426,-0.062352221,-0.001332312,-0.008127105,-23,46,89,13,-17
1,1693677650283322300,1.027112484,-0.85473001,10.26992798,-0.062352221,-0.001332312,-0.008260337,-35,46,77,2,-11
2,1693677650284322300,1.025915384,-0.85353291,10.27112484,-0.06261868,-0.001332312,-0.008260337,-30,45,85,12,-7
3,1693677650285322300,1.027112484,-0.851138711,10.26873112,-0.06261868,-0.001598775,-0.008260337,-23,37,75,11,-2
4,1693677650286322300,1.025915384,-0.849941611,10.26753426,-0.062485453,-0.001465544,-0.008393568,-27,36,85,47,-11
0,1693677650298315100,1.027112484,-0.85473001,10.26394272,-0.062352221,-0.0021317,-0.008393568,-21,45,87,11,-8
1,1693677650299315100,1.024718285,-0.85473001,10.26513958,-0.062485453,-0.001998469,-0.008393568,-21,45,87,10,-9
2,1693677650300315100,1.022324085,-0.85353291,10.26513958,-0.062485453,-0.001865237,-0.008260337,-17,42,79,12,-15
3,1693677650301315100,1.023521185,-0.851138711,10.26633644,-0.062751912,-0.001998469,-0.008526799,-26,47,88,10,-9
4,1693677650302315100,1.024718285,-0.851138711,10.26753426,-0.062751912,-0.001865237,-0.008526799,-24,46,88,11,-6
0,1693677650319301700,1.023521185,-0.852335811,10.25915432,-0.062352221,-0.001332312,-0.008526799,-20,42,85,7,-7
1,1693677650320301700,1.024718285,-0.851138711,10.25795746,-0.062218986,-0.001465544,-0.008526799,-23,45,85,8,-9
2,1693677650321301700,1.025915384,-0.852335811,10.25915432,-0.062218986,-0.001465544,-0.008393568,-27,43,70,10,-11
3,1693677650322301700,1.027112484,-0.849941611,10.26035118,-0.062218986,-0.001465544,-0.008393568,-28,39,88,10,-9
4,1693677650323301700,1.030703783,-0.851138711,10.26394272,-0.062218986,-0.001332312,-0.008260337,-23,45,89,8,-12
0,1693677650336293700,1.024718285,-0.85353291,10.26513958,-0.062352221,-0.001465544,-0.008926493,-22,39,89,11,-13
1,1693677650337293700,1.027112484,-0.85353291,10.27232265,-0.062218986,-0.001598775,-0.008926493,-22,39,85,8,-10
