timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1689140535261927700,-10.0,0.0,2.0,-5.0,-2.0,-4.0,-3.0,28.0,,,,,,,,,,,,
1689140535263917000,3.0,-8.0,7.0,6.0,-1.0,-1.0,5.0,50.0,,,,,,,,,,,,
1689140535281902100,-5.0,-20.0,14.0,3.0,0.0,-5.0,-6.0,-70.0,,,,,,,,,,,,
1689140535284899900,25.0,22.0,-4.0,-4.0,0.0,5.0,11.0,43.0,,,,,,,,,,,,
1689140535287899100,6.0,-7.0,1.0,9.0,5.0,5.0,2.0,-12.0,,,,,,,,,,,,
1689140535289900700,11.0,-21.0,5.0,-2.0,-5.0,-3.0,-4.0,-6.0,,,,,,,,,,,,
1689140535292895700,5.0,2.0,-3.0,-4.0,2.0,-1.0,2.0,-36.0,,,,,,,,,,,,
1689140535293894400,-6.0,0.0,-3.0,6.0,5.0,6.0,-3.0,-13.0,,,,,,,,,,,,
1689140535299891500,-16.0,-3.0,-21.0,-2.0,2.0,-1.0,-10.0,-72.0,,,,,,,,,,,,
1689140535301889500,0.0,1.0,22.0,-1.0,-2.0,1.0,7.0,58.0,,,,,,,,,,,,
1689140535308886300,-5.0,-3.0,13.0,5.0,-2.0,-2.0,0.0,27.0,,,,,,,,,,,,
1689140535310886300,11.0,-11.0,-17.0,-2.0,-1.0,-3.0,1.0,-10.0,,,,,,,,,,,,
1689140535321877300,-10.0,23.0,17.0,3.0,-2.0,1.0,1.0,20.0,,,,,,,,,,,,
1689140535323877300,5.0,1.0,-28.0,-8.0,-2.0,-6.0,-6.0,-30.0,,,,,,,,,,,,
1689140535330873100,5.0,-10.0,5.0,-1.0,4.0,13.0,8.0,11.0,,,,,,,,,,,,
1689140535332872000,-15.0,-13.0,-2.0,3.0,0.0,-3.0,1.0,16.0,,,,,,,,,,,,
1689140535353859700,-7.0,3.0,11.0,-2.0,-4.0,-2.0,1.0,32.0,,,,,,,,,,,,
1689140535354860100,-8.0,-17.0,-9.0,2.0,0.0,4.0,21.0,75.0,,,,,,,,,,,,
1689140535360855300,-10.0,2.0,-9.0,0.0,4.0,1.0,1.0,18.0,,,,,,,,,,,,
1689140535361856700,72.0,6.0,32.0,6.0,-4.0,-3.0,-2.0,-19.0,,,,,,,,,,,,
1689140535362855800,-3.0,37.0,-2.0,-2.0,4.0,3.0,-3.0,-17.0,,,,,,,,,,,,
1689140535363854800,11.0,-4.0,4.0,0.0,-1.0,0.0,0.0,28.0,,,,,,,,,,,,
1689140535382842400,6.0,0.0,-12.0,0.0,-1.0,-3.0,-4.0,-9.0,,,,,,,,,,,,
1689140535384841500,-10.0,-6.0,-10.0,-3.0,-2.0,0.0,-5.0,-55.0,,,,,,,,,,,,
1689140535386841900,2.0,5.0,2.0,-1.0,-2.0,-4.0,3.0,14.0,,,,,,,,,,,,
1689140535387862300,15.0,17.0,14.0,0.0,3.0,2.0,-1.0,-37.0,,,,,,,,,,,,
1689140535390840900,-20.0,8.0,-5.0,-6.0,-1.0,-3.0,-1.0,-28.0,,,,,,,,,,,,
1689140535392837900,-31.0,-5.0,-13.0,-3.0,-1.0,-2.0,-3.0,6.0,,,,,,,,,,,,
1689140535405836900,0.0,0.0,12.0,-1.0,-3.0,-2.0,10.0,68.0,,,,,,,,,,,,
1689140535407829900,-18.0,5.0,0.0,4.0,-1.0,3.0,-3.0,-34.0,,,,,,,,,,,,
1689140535412826700,-11.0,36.0,4.0,9.0,-5.0,-10.0,-4.0,-6.0,,,,,,,,,,,,
1689140535413825700,-12.0,-11.0,-7.0,-19.0,0.0,4.0,5.0,26.0,,,,,,,,,,,,
1689140535427816600,-23.0,-13.0,-7.0,-4.0,-1.0,5.0,13.0,83.0,,,,,,,,,,,,
1689140535428817000,19.0,-14.0,8.0,0.0,3.0,4.0,8.0,79.0,,,,,,,,,,,,
1689140535434815200,45.0,2.0,3.0,2.0,-2.0,-5.0,-5.0,-18.0,,,,,,,,,,,,
1689140535435814500,12.0,67.0,-18.0,2.0,0.0,-4.0,0.0,13.0,,,,,,,,,,,,
1689140535450804400,-17.0,7.0,39.0,0.0,-1.0,1.0,-2.0,-6.0,,,,,,,,,,,,
1689140535452803600,-7.0,4.0,-21.0,-5.0,-4.0,-4.0,-7.0,-26.0,,,,,,,,,,,,
1689140535454802900,3.0,-10.0,1.0,2.0,-2.0,0.0,0.0,27.0,,,,,,,,,,,,
