,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
2,1690861076502321500,0.536301196,-0.079008654,9.289502144,-0.106052071,0.023448698,-0.012790199,330147.0625,338436.75,312802.4063,202884.6094,299902.3125
3,1690861076503321500,0.536301196,-0.081402861,9.282320023,-0.106052071,0.023182238,-0.012790199,334252.3438,343181.8438,297959.1875,206512.0156,296802.3125
4,1690861076504321500,0.536301196,-0.081402861,9.279925346,-0.106052071,0.022915773,-0.012790199,320000.0625,357031.3125,296418.1875,198905.1406,303051.25
0,1690861076522307100,0.545877993,-0.079008654,9.279925346,-0.105785601,0.023448698,-0.012523737,334252.3438,349506.0313,311144.5938,200219.9688,298346.2813
1,1690861076523307100,0.541089594,-0.079008654,9.275136948,-0.105519146,0.022915773,-0.012523737,323913.0625,348030.625,308682.5313,204914.3594,298346.2813
2,1690861076524307100,0.541089594,-0.076614454,9.267954826,-0.105785601,0.022915773,-0.012523737,327453.0313,334713.3438,305847.4375,201324.5156,298346.2813
3,1690861076525307100,0.541089594,-0.08379706,9.279925346,-0.105785601,0.023448698,-0.012790199,327453.0313,342224.6563,303051.25,198687.1094,304244.75
4,1690861076526307100,0.541089594,-0.086191259,9.29189682,-0.105785601,0.023715161,-0.012523737,341271.4688,356013.3125,294889.0,202214.0313,303051.25
0,1690861076548293800,0.541089594,-0.081402861,9.279925346,-0.105785601,0.023715161,-0.012523737,327007.3125,336567.125,311557.7813,198905.1406,299122.9063
1,1690861076549293800,0.536301196,-0.081402861,9.282320023,-0.105785601,0.023448698,-0.012523737,331962.0,328347.2813,299902.3125,198687.1094,302654.8125
2,1690861076550293800,0.533906996,-0.081402861,9.282320023,-0.105785601,0.023448698,-0.012257273,331052.625,328347.2813,294129.0,204687.4844,296034.8125
3,1690861076551293800,0.536301196,-0.081402861,9.279925346,-0.105785601,0.023448698,-0.012257273,320000.0625,361148.5625,307868.5625,201324.5156,296034.8125
4,1690861076552293800,0.533906996,-0.08379706,9.284713745,-0.105519146,0.023448698,-0.012257273,328347.2813,349506.0313,294129.0,201546.4063,303051.25
0,1690861076572391000,0.531512797,-0.088585466,9.287108421,-0.106318533,0.023448698,-0.011724349,334252.3438,360629.9688,312386.6875,202437.2188,302654.8125
1,1690861076573391000,0.526724398,-0.08379706,9.282320023,-0.106052071,0.022915773,-0.011990812,341271.4688,350495.0313,296034.8125,203783.375,298734.1563
2,1690861076574391000,0.531512797,-0.08379706,9.270348549,-0.106318533,0.022382848,-0.011990812,337500.0625,337500.0625,307057.6875,204914.3594,299902.3125
3,1690861076575391000,0.536301196,-0.086191259,9.270348549,-0.106318533,0.022915773,-0.011990812,327007.3125,359080.625,295270.2813,205597.0,297959.1875
4,1690861076576391000,0.536301196,-0.086191259,9.275136948,-0.106052071,0.023448698,-0.011990812,320863.25,335175.4375,299122.9063,204687.4844,299512.1875
0,1690861076598376900,0.543483794,-0.088585466,9.26556015,-0.105785601,0.023182238,-0.012790199,327007.3125,331052.625,314473.6563,190838.0313,297959.1875
1,1690861076599376900,0.545877993,-0.086191259,9.263166428,-0.105785601,0.023182238,-0.012790199,326562.5,361148.5625,303051.25,201324.5156,299902.3125
2,1690861076600376900,0.543483794,-0.090979666,9.263166428,-0.105785601,0.022915773,-0.012790199,330147.0625,337967.9688,312386.6875,200000.0156,299902.3125
3,1690861076601376900,0.543483794,-0.088585466,9.267954826,-0.105785601,0.023182238,-0.012790199,321296.2188,351986.875,303051.25,200219.9688,305847.4375
4,1690861076602376900,0.541089594,-0.090979666,9.270348549,-0.105785601,0.023448698,-0.012790199,332875.375,339377.5938,298346.2813,198034.9063,296034.8125
0,1690861076618413900,0.541089594,-0.088585466,9.287108421,-0.106052071,0.023981623,-0.012523737,348030.625,344625.4375,297572.8125,205369.1719,299512.1875
1,1690861076619413900,0.541089594,-0.088585466,9.296685219,-0.106052071,0.023981623,-0.012790199,347052.4063,343662.0,298734.1563,204687.4844,302259.2813
2,1690861076620413900,0.538695395,-0.088585466,9.308655739,-0.105785601,0.023981623,-0.012790199,334252.3438,357541.9688,304644.2188,201991.1563,294508.6875
3,1690861076621413900,0.541089594,-0.090979666,9.308655739,-0.105785601,0.023715161,-0.012790199,324352.375,349506.0313,311144.5938,206053.7813,303051.25
4,1690861076622413900,0.543483794,-0.093373865,9.30386734,-0.105519146,0.023448698,-0.012790199,320000.0625,360629.9688,296034.8125,204687.4844,304244.75
0,1690861076642409400,0.543483794,-0.079008654,9.275136948,-0.106052071,0.023448698,-0.012523737,324352.375,352486.1563,305044.5625,201102.9531,295652.1875
1,1690861076643409400,0.545877993,-0.079008654,9.287108421,-0.105785601,0.023448698,-0.012523737,332875.375,347541.0,311144.5938,201324.5156,299902.3125
2,1690861076644409400,0.548272192,-0.079008654,9.29189682,-0.105785601,0.023448698,-0.012257273,327899.5625,339377.5938,309090.9375,201324.5156,299902.3125
3,1690861076645409400,0.550666392,-0.079008654,9.294290543,-0.105785601,0.023448698,-0.012523737,334252.3438,350495.0313,309090.9375,198034.9063,303846.0938
4,1690861076646409400,0.548272192,-0.081402861,9.296685219,-0.105785601,0.023448698,-0.012523737,321296.2188,341747.4688,291866.0625,202660.75,299512.1875
0,1690861076664576100,0.538695395,-0.086191259,9.289502144,-0.105785601,0.023182238,-0.012257273,320000.0625,362189.6563,294129.0,202437.2188,297572.8125
1,1690861076665576100,0.538695395,-0.081402861,9.284713745,-0.105785601,0.023182238,-0.011990812,343181.8438,339377.5938,309090.9375,204234.75,299122.9063
2,1690861076666576100,0.541089594,-0.079008654,9.279925346,-0.105785601,0.023182238,-0.012257273,320000.0625,357031.3125,296418.1875,203783.375,306653.3438
3,1690861076667576100,0.538695395,-0.08379706,9.284713745,-0.106052071,0.023182238,-0.012257273,327899.5625,345108.7188,293371.7813,204687.4844,296418.1875
4,1690861076668576100,0.541089594,-0.08379706,9.284713745,-0.106052071,0.023182238,-0.012523737,346078.4375,348030.625,318283.9063,203558.1875,305445.5938
0,1690861076684814300,0.543483794,-0.090979666,9.275136948,-0.105519146,0.023715161,-0.013056661,337033.0313,349506.0313,299512.1875,198905.1406,299902.3125
1,1690861076685814300,0.545877993,-0.093373865,9.277531624,-0.105519146,0.023448698,-0.013323124,335175.4375,337033.0313,294129.0,204914.3594,303051.25
2,1690861076686814300,0.545877993,-0.090979666,9.275136948,-0.105519146,0.023182238,-0.013056661,347052.4063,353991.0938,294129.0,204460.9531,299512.1875
3,1690861076687814300,0.545877993,-0.090979666,9.272743225,-0.105519146,0.023182238,-0.013056661,343181.8438,334713.3438,304644.2188,201546.4063,295652.1875
4,1690861076688814300,0.548272192,-0.095768064,9.275136948,-0.105785601,0.023182238,-0.012790199,335638.375,351986.875,294508.6875,197601.7813,299902.3125
0,1690861076844482700,0.553060591,-0.088585466,9.284713745,-0.105785601,0.023448698,-0.013056661,341271.4688,355000.0938,303448.3438,206053.7813,299902.3125
1,1690861076845482700,0.548272192,-0.090979666,9.289502144,-0.106052071,0.023715161,-0.012790199,334252.3438,339377.5938,306653.3438,203108.8125,305044.5625
2,1690861076846482700,0.545877993,-0.088585466,9.287108421,-0.106052071,0.023715161,-0.013056661,342702.75,332875.375,303051.25,198469.3438,297959.1875
3,1690861076847482700,0.543483794,-0.090979666,9.284713745,-0.106052071,0.023981623,-0.013056661,321296.2188,334252.3438,315314.5,199123.4063,296034.8125
4,1690861076848482700,0.545877993,-0.088585466,9.284713745,-0.105785601,0.023981623,-0.012790199,340322.625,342702.75,312802.4063,201324.5156,296034.8125
0,1690861076886173000,0.541089594,-0.074220255,9.279925346,-0.105785601,0.023981623,-0.012523737,331506.8125,357031.3125,316158.5,203783.375,294889.0
