,timestamp,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
3,1693677770217739700,-0.108936176,2.41694665,10.21246719,0.054091886,-0.026779478,0.037837673,7,31,-25,-23,50
4,1693677770218739700,-0.110133275,2.418143749,10.20887566,0.053958651,-0.026646247,0.037837673,20,35,-25,-27,50
0,1693677770235728700,-0.116118781,2.410961151,10.21366405,0.053825419,-0.025980091,0.037837673,18,51,-27,-24,46
1,1693677770236728700,-0.113724582,2.410961151,10.21725559,0.053958651,-0.025846859,0.037837673,23,36,-24,-23,53
2,1693677770237728700,-0.119710088,2.412158251,10.21486187,0.053825419,-0.025980091,0.037837673,15,37,-25,-22,52
3,1693677770238728700,-0.119710088,2.408566952,10.22084713,0.053958651,-0.026113322,0.037837673,16,32,-29,-28,46
4,1693677770239728700,-0.117315881,2.409764051,10.21725559,0.054091886,-0.025980091,0.037837673,9,30,-23,-30,44
0,1693677770258714200,-0.117315881,2.41574955,10.21605873,0.053692192,-0.025580399,0.037704438,16,32,-25,-24,52
1,1693677770259714200,-0.114921682,2.41455245,10.21246719,0.053692192,-0.025447167,0.03757121,19,33,-24,-27,49
2,1693677770260714200,-0.113724582,2.41335535,10.20887566,0.053692192,-0.025580399,0.037704438,17,30,-29,-27,46
3,1693677770261714200,-0.114921682,2.410961151,10.20767879,0.053558957,-0.025580399,0.03757121,17,35,-29,-27,44
4,1693677770262714200,-0.113724582,2.410961151,10.2028904,0.053558957,-0.025580399,0.037437979,14,31,-24,-27,48
0,1693677770281701200,-0.110133275,2.41335535,10.21486187,0.053825419,-0.026646247,0.037837673,19,37,-21,-22,54
1,1693677770282701200,-0.108936176,2.41455245,10.21605873,0.053825419,-0.026646247,0.037704438,20,39,-24,-24,48
2,1693677770283701200,-0.107739076,2.41455245,10.21605873,0.053692192,-0.026513018,0.03757121,20,41,-25,-27,48
3,1693677770284701200,-0.107739076,2.41574955,10.22084713,0.053692192,-0.026246555,0.037437979,10,30,-29,-27,50
4,1693677770285701200,-0.106541976,2.41574955,10.22563553,0.053558957,-0.025980091,0.037437979,17,34,-21,-27,50
0,1693677770303688700,-0.116118781,2.408566952,10.21845245,0.053558957,-0.026246555,0.03757121,17,41,-21,-24,53
1,1693677770304688700,-0.113724582,2.41335535,10.21725559,0.054358348,-0.026646247,0.037437979,11,33,-29,-22,49
2,1693677770305688700,-0.112527482,2.41574955,10.21965027,0.055024505,-0.026779478,0.037304748,10,33,-31,-23,49
3,1693677770306688700,-0.111330383,2.41694665,10.22324085,0.055024505,-0.026513018,0.037437979,20,36,-29,-24,49
4,1693677770307688700,-0.110133275,2.41694665,10.22683239,0.054225113,-0.025980091,0.037437979,13,34,-24,-28,52
0,1693677770327676100,-0.116118781,2.409764051,10.21845245,0.053825419,-0.026246555,0.03757121,19,37,-25,-21,42
1,1693677770328676100,-0.114921682,2.409764051,10.21845245,0.054225113,-0.026646247,0.03757121,19,39,-28,-28,44
2,1693677770329676100,-0.113724582,2.408566952,10.22922707,0.054491576,-0.027179174,0.037837673,18,37,-32,-24,48
